Generation	NumCells	DriverDiversity	DriverEdgeDiversity	DriverAlphaDiversity	DriverDiversityFrom1RandomSamples	DriverDiversityFrom1BigRandomSamples	DriverDiversityFrom2RandomSamples	DriverDiversityFrom2BigRandomSamples	DriverDiversityFrom4RandomSamples	DriverDiversityFrom4BigRandomSamples
421.373535	260000	2.177793	2.177793	2.177793	2.060157	2.181739	2.237324	2.196345	2.223880	2.169168
421.472870	264106	2.167442	2.167442	2.167442	2.322341	2.054443	2.144083	2.182197	2.196945	2.197017
421.492065	265000	2.165079	2.165079	2.165079	1.857355	2.064623	2.093912	2.223171	2.127293	2.122077
421.602692	270000	2.153726	2.153726	2.153726	2.490040	2.060369	2.246939	2.074758	2.156181	2.138981
421.716705	275000	2.139731	2.139731	2.139731	1.807665	2.149382	2.144715	2.149798	2.178393	2.129931
421.842468	280000	2.124813	2.124813	2.124813	2.107038	2.240645	2.172614	2.124712	2.146110	2.114908
421.951111	285000	2.111297	2.111297	2.111297	1.790190	1.991040	2.068145	2.111950	2.055551	2.080895
422.061554	290000	2.098871	2.098871	2.098871	2.209456	2.194908	2.092816	2.076998	2.126122	2.165328
422.166595	295000	2.085920	2.085920	2.085920	1.997603	2.123593	2.063611	2.047536	2.077676	2.079547
422.261261	300000	2.075998	2.075998	2.075998	2.427185	2.055076	1.995859	2.092094	2.073680	2.134135
422.373566	305000	2.062481	2.062481	2.062481	1.967729	2.194667	2.140869	2.095443	2.079752	2.058796
422.474030	310000	2.049793	2.049793	2.049793	2.164502	2.030457	2.069911	2.118528	2.010796	2.063730
422.563995	315000	2.038516	2.038516	2.038516	2.443793	2.063132	2.025060	2.082413	2.036751	2.007953
422.666870	320000	2.027174	2.027174	2.027174	2.115059	2.235886	2.042014	1.896720	1.972965	1.982384
422.760254	325000	2.015609	2.015609	2.015609	2.177700	1.942313	1.921414	2.021444	2.051253	2.014286
422.853333	330000	2.003047	2.003047	2.003047	1.774938	1.892148	2.112936	1.968861	1.990198	2.021678
422.941742	335000	1.992909	1.992909	1.992909	1.993621	1.928454	1.958624	2.012429	1.927741	1.880484
423.026550	340000	1.981193	1.981193	1.981193	2.013693	1.858563	1.878684	1.930025	2.015121	2.000571
423.112091	345000	1.968818	1.968818	1.968818	2.255300	1.964058	2.021887	1.996781	1.976246	1.941590
423.194885	350000	1.961649	1.961649	1.961649	1.634521	1.907305	2.015672	1.912836	1.979571	1.958521
423.274231	355000	1.951188	1.951188	1.951188	1.876173	1.914609	1.992478	2.037540	1.914026	1.999346
423.353912	360000	1.941839	1.941839	1.941839	1.752541	1.912229	1.759711	1.973773	1.975757	1.949877
