"K" "migration_type" "init_migration_rate" "migration_edge_only" "migration_rate_scales_with_K" "mu_driver_birth" "mu_passenger" "mu_driver_migration" "normal_birth_rate" "baseline_death_rate" "s_driver_birth" "s_passenger" "s_driver_migration" "max_relative_birth_rate" "max_relative_migration_rate" "init_pop" "seed" "biopsy_size_per_sample" "Generation" "NumCells" "TotalBirths" "TotalDeaths" "TotalMigrations" "Passengers" "Drivers" "VarPassengers" "VarDrivers" "MeanBirthRate" "MeanMigrationRate" "VarBirthRate" "VarMigRate" "NumClones" "NumGenotypes" "NumDriverGenotypes" "NumDemes" "NumNon-EmptyDemes" "MatrixColumns" "DriverMatrixColumns" "EverGenotypes" "CellsWith0Drivers" "CellsWith1Drivers" "CellsWith2Drivers" "CellsWith3Drivers" "CellsWith4Drivers" "CellsWith5Drivers" "CellsWith6Drivers" "CellsWith7Drivers" "CellsWith8Drivers" "CellsWith9Drivers" "CellsWith10Drivers" "maxgen" "gen_adj" "SmoothNumCells" "SmoothRadius" "GrowthRate" "RadiusGrowthRate" "mean_autocor" "log_mean_autocor" "sqrt_mean_autocor" "skewness" "Population" "Parent" "Identity" "DriverIdentity" "DriverMutations" "MigrationMutations" "Immortal" "PassengerMutations" "BirthRate" "MigrationRate" "OriginTime" "Descendants" "pop_size" "VAF" "Diversity" "Diversity2" "Diversity_Descendants" "case"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 561015 100 508.816559 1000000 50086402 49086403 0 94.509857 0.002041 112.787338 0.002034 1 0 0 0 380943 380943 86 1 1 3033274 162 9528428 997959 2041 0 0 0 0 0 0 0 0 0 508.816559 1 966207.033791597 554.574838012133 18150.5065843844 5.21053472540986 0 -Inf 0 NA 997959 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.00409416021477 1.0040941643257 1.00408579627282 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0.1 0 0 10 10 1 561015 100 305.265747 1000000 5310926 4310927 0 61.37711 1.560876 13.8989 0.285955 1.273531 0 0.006318976 0 312557 312557 48 1 1 473553 51 1011393 19850 399699 580176 275 0 0 0 0 0 0 0 305.265747 1 63490.806208952 142.161004843412 2398.76075571088 2.6987642142025 0 -Inf 0 NA 19850 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 3.01160136942218 3.01160742758186 3.07499131967727 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 6016 100 551.573242 1000000 50522690 49522691 0 117.153984 0.001888 83.954033 0.00201 1 0 0 0 381363 381363 78 1 1 3057312 147 9613743 998176 1760 64 0 0 0 0 0 0 0 0 551.573242 1 955830.571683435 551.588905330357 17875.6498792064 5.15981613195786 0 -Inf 0 NA 998176 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.00365775958159 1.00365776325273 1.00377931562279 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0.1 0 0 10 10 1 6016 100 401.905334 1000000 13198625 12198626 0 90.694901 0.928616 21.545591 0.107185 1.093478 0 0.003045761 0 352797 352797 61 1 1 931135 63 2513905 91716 887952 20332 0 0 0 0 0 0 0 0 401.905334 1 239957.168530989 276.370655106658 6748.51541355152 3.89811017652 0 -Inf 0 NA 91716 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.42807132473808 1.42807193605534 2.1549877742741 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 28017 100 510.538483 1000000 49946609 48946610 0 97.820061 0.006582 73.195259 0.006648 1 0 0 0 380524 380524 68 1 1 3022405 121 9503692 993480 6458 62 0 0 0 0 0 0 0 0 510.538483 1 960009.572642244 552.79339522384 18019.223323446 5.19773265175572 0 -Inf 0 NA 993480 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.01315454390725 1.01315455723485 1.01319305030715 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0.1 0 0 10 10 1 28017 100 265.702545 1000000 8417552 7417553 0 47.390167 0.994751 15.988005 0.009653 1.116812 0 0.000134092 0 344973 344973 51 1 1 656565 53 1600751 7472 990305 2223 0 0 0 0 0 0 0 0 265.702545 1 228759.015821383 269.844874492032 15347.1067930318 9.14111277834686 0 -Inf 0 NA 7472 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.01961511133442 1.01961513133431 2.00443453524487 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 190018 100 437.205902 1000000 50581908 49581909 0 85.750664 0.007835 78.303703 0.007762 1 0 0 0 382030 382030 73 1 1 3063267 137 9629092 992165 7835 0 0 0 0 0 0 0 0 0 437.205902 1 951886.093259786 550.449592610857 17380.4653350638 5.04457119424471 0 -Inf 0 NA 992165 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.01581975399683 1.01581977006687 1.01569560840564 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0.1 0 0 10 10 1 190018 100 249.547836 1000000 5213129 4213130 0 34.658619 0.975683 14.206097 0.024187 1.284305 0 0.002034925 0 309750 309750 38 1 1 467777 39 992362 24565 975187 248 0 0 0 0 0 0 0 0 249.547836 1 81275.4042853816 160.843914052168 3083.24887433184 3.0560095807245 0 -Inf 0 NA 24565 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.05095545164678 1.05095550519875 2.00027287715219 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 1891019 100 530.061646 1000000 50178352 49178353 0 113.436356 0.004023 116.772751 0.003999 1 0 0 0 380504 380504 80 1 1 3035759 123 9553021 995977 4023 0 0 0 0 0 0 0 0 0 530.061646 1 940630.971412882 547.185651722872 17318.2269902194 5.05624106001903 0 -Inf 0 NA 995977 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.00808789965872 1.00808790781204 1.00805532459659 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0.1 0 0 10 10 1 1891019 100 435.308685 1000000 11807108 10807109 0 90.495392 0.860135 55.140045 0.121465 1.257586 0 0.02568356 0 319886 319886 32 1 1 845320 44 2246788 140159 859547 294 0 0 0 0 0 0 0 0 435.308685 1 203113.064025739 254.269338089503 4485.79545128733 2.80874366246014 0 -Inf 0 NA 140159 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 3.50522752278718 3.50523630421042 2.73344194048637 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 3081020 100 532.778992 1000000 50961006 49961007 0 110.99115 0.002291 85.943436 0.002283 1 0 0 0 381478 381478 76 1 1 3083970 131 9703152 997709 2291 0 0 0 0 0 0 0 0 0 532.778992 1 968717.021366541 555.294700871065 18134.3565957613 5.21182523625929 0 -Inf 0 NA 997709 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.00459736495438 1.00459736957288 1.00458682132474 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0.1 0 0 10 10 1 3081020 100 346.273102 1000000 7426011 6426012 0 73.707283 0.973741 17.352232 0.028734 1.165444 0 0.0008830623 0 333269 333269 54 1 1 598451 57 1412015 27880 970499 1621 0 0 0 0 0 0 0 0 346.273102 1 107137.201946387 184.669517131562 3856.76370431411 3.32626961089419 0 -Inf 0 NA 27880 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.06621251981156 1.06621259040825 2.00780057660344 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 3741021 100 463.517365 1000000 50131390 49131391 0 96.163139 0.002584 102.479385 0.002573 1 0 0 0 381298 381298 85 1 1 3035353 143 9542572 997416 2584 0 0 0 0 0 0 0 0 0 463.517365 1 956845.032177386 551.881539180204 17522.8544180474 5.0673046003841 0 -Inf 0 NA 997416 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.00518755246233 1.0051875576768 1.00517413194806 "caseA"
